ID_MUNICIPIO,ID_SETOR_CENSITARIO,PRM_00_04,PRM_05_09,PRM_10_14,PRM_15_19,PRM_20_24,PRM_25_29,PRM_30_34,PRM_35_39,PRM_40_44,PRM_45_49,PRM_50_54,PRM_55_59,PRM_60_64,PRM_65_69,PRM_70_74,PRM_75_79,PRM_80_84,PRM_85_89,PRM_90_94,PRM_95_99,PRM_100,PRF_00_04,PRF_05_09,PRF_10_14,PRF_15_19,PRF_20_24,PRF_25_29,PRF_30_34,PRF_35_39,PRF_40_44,PRF_45_49,PRF_50_54,PRF_55_59,PRF_60_64,PRF_65_69,PRF_70_74,PRF_75_79,PRF_80_84,PRF_85_89,PRF_90_94,PRF_95_99,PRF_100,PIA_M,PIA_F,PIA_T,RS_00_04,RS_05_09,RS_10_14,RS_15_19,RS_20_24,RS_25_29,RS_30_34,RS_35_39,RS_40_44,RS_45_49,RS_50_54,RS_55_59,RS_60_64,RS_65_69,RS_70_74,RS_75_79,RS_80_84,RS_85_89,RS_90_94,RS_95_99,RS_100,IE_M,IE_F,DR_CLASSE_AB,DR_CLASSE_C,DR_CLASSE_D,DR_CLASSE_E,RR_CLASSE_A,RR_CLASSE_B,RR_CLASSE_C,RR_CLASSE_D,RR_CLASSE_E
3531506,353150605000001,19,22,29,33,27,33,20,31,33,23,23,25,17,21,21,14,6,2,0,0,0,14,19,21,28,35,34,19,26,31,22,30,30,21,28,20,14,12,9,1,1,0,0.6641604010025063,0.6650602409638554,0.6646191646191646,1.36,1.16,1.38,1.18,0.77,0.97,1.05,1.19,1.06,1.05,0.77,0.83,0.81,0.75,1.05,1.0,0.5,0.22,0.0,0.0,,0.9142857142857143,1.5740740740740742,2,13,50,217,1,6,19,74,152
3531506,353150605000002,5,16,18,19,31,20,6,18,16,19,20,21,22,8,9,6,8,2,2,0,0,7,11,16,28,17,26,22,21,18,25,20,23,20,10,15,13,14,2,0,0,0,0.7218045112781954,0.7142857142857143,0.7177700348432056,0.71,1.45,1.12,0.68,1.82,0.77,0.27,0.86,0.89,0.76,1.0,0.91,1.1,0.8,0.6,0.46,0.57,1.0,,,,0.8974358974358975,1.588235294117647,4,9,54,136,2,4,12,38,102
3531506,353150605000003,6,10,17,13,21,20,15,11,20,20,20,11,15,15,11,8,9,6,3,0,0,16,14,13,15,23,31,17,13,21,26,23,20,14,20,9,10,12,6,2,1,0,0.6613545816733067,0.6633986928104575,0.6624775583482945,0.38,0.71,1.31,0.87,0.91,0.65,0.88,0.85,0.95,0.77,0.87,0.55,1.07,0.75,1.22,0.8,0.75,1.0,1.5,0.0,,1.5757575757575757,1.3953488372093024,8,26,64,90,9,12,40,57,65
3531506,353150605000004,14,18,18,15,21,24,28,17,20,23,25,22,20,15,10,7,2,2,1,0,0,14,16,17,21,24,27,19,19,22,29,27,24,13,21,9,7,3,4,5,1,0,0.7119205298013245,0.6987577639751553,0.7051282051282052,1.0,1.12,1.06,0.71,0.88,0.89,1.47,0.89,0.91,0.79,0.93,0.92,1.54,0.71,1.11,1.0,0.67,0.5,0.2,0.0,,0.74,1.0638297872340425,17,26,74,86,8,9,33,48,64
3531506,353150605000005,17,16,25,27,38,37,29,20,24,23,33,24,24,14,19,11,9,2,3,0,0,9,16,24,24,30,31,33,30,26,33,36,23,27,19,24,14,13,10,4,0,0,0.7063291139240506,0.687793427230047,0.6967113276492083,1.89,1.0,1.04,1.12,1.27,1.19,0.88,0.67,0.92,0.7,0.92,1.04,0.89,0.74,0.79,0.79,0.69,0.2,0.75,,,1.0,1.7142857142857142,3,12,65,207,3,8,28,83,154
3531506,353150605000006,32,36,43,43,40,63,45,36,40,27,27,31,29,19,8,13,1,0,0,0,0,24,22,30,42,48,46,42,36,43,32,32,39,23,12,15,19,13,3,3,0,0,0.7148217636022514,0.7309160305343512,0.7228003784295175,1.33,1.64,1.43,1.02,0.83,1.37,1.07,1.0,0.93,0.84,0.84,0.79,1.26,1.58,0.53,0.68,0.08,0.0,0.0,,,0.36936936936936937,0.8552631578947368,1,2,45,306,0,0,9,45,223
3531506,353150605000007,12,16,19,29,34,26,24,18,19,29,23,16,17,7,5,4,3,0,0,0,0,19,22,24,25,31,27,18,19,24,30,20,16,11,9,4,6,3,1,1,0,0,0.7807308970099668,0.7129032258064516,0.7463175122749591,0.63,0.73,0.79,1.16,1.1,0.96,1.33,0.95,0.79,0.97,1.15,1.0,1.55,0.78,1.25,0.67,1.0,0.0,0.0,,,0.40425531914893614,0.36923076923076925,0,2,15,170,0,0,10,51,120
3531506,353150605000008,34,34,48,46,52,40,29,47,37,38,30,20,22,15,11,6,6,1,0,0,0,25,28,34,50,44,42,42,37,39,31,38,25,16,24,9,6,4,3,1,0,0,0.6996124031007752,0.7309236947791165,0.7149901380670611,1.36,1.21,1.41,0.92,1.18,0.95,0.69,1.27,0.95,1.23,0.79,0.8,1.38,0.62,1.22,1.0,1.5,0.33,0.0,,,0.33620689655172414,0.5402298850574713,0,0,11,314,0,0,2,66,234
3531506,353150605000009,38,31,53,38,45,51,51,25,32,39,27,24,19,5,7,10,0,2,0,0,0,43,35,42,39,51,36,42,36,33,34,31,22,17,16,10,1,6,3,2,1,0,0.7062374245472837,0.682,0.6940822467402207,0.88,0.89,1.26,0.97,0.88,1.42,1.21,0.69,0.97,1.15,0.87,1.09,1.12,0.31,0.7,10.0,0.0,0.67,0.0,0.0,,0.19672131147540983,0.325,0,1,14,279,0,1,0,28,205
3531506,353150605000010,31,34,38,55,49,46,44,33,21,26,25,19,26,14,13,6,8,2,1,0,0,41,38,29,36,42,39,32,27,33,26,28,27,21,17,19,10,13,5,1,0,0,0.7006109979633401,0.6425619834710744,0.6717948717948717,0.76,0.89,1.31,1.53,1.17,1.18,1.38,1.22,0.64,1.0,0.89,0.7,1.24,0.82,0.68,0.6,0.62,0.4,1.0,,,0.42718446601941745,0.6018518518518519,5,7,36,257,5,3,18,63,204
