ID_MUNICIPIO,ID_SETOR_CENSITARIO,PRM_00_04,PRM_05_09,PRM_10_14,PRM_15_19,PRM_20_24,PRM_25_29,PRM_30_34,PRM_35_39,PRM_40_44,PRM_45_49,PRM_50_54,PRM_55_59,PRM_60_64,PRM_65_69,PRM_70_74,PRM_75_79,PRM_80_84,PRM_85_89,PRM_90_94,PRM_95_99,PRM_100,PRF_00_04,PRF_05_09,PRF_10_14,PRF_15_19,PRF_20_24,PRF_25_29,PRF_30_34,PRF_35_39,PRF_40_44,PRF_45_49,PRF_50_54,PRF_55_59,PRF_60_64,PRF_65_69,PRF_70_74,PRF_75_79,PRF_80_84,PRF_85_89,PRF_90_94,PRF_95_99,PRF_100,PIA_M,PIA_F,PIA_T,RS_00_04,RS_05_09,RS_10_14,RS_15_19,RS_20_24,RS_25_29,RS_30_34,RS_35_39,RS_40_44,RS_45_49,RS_50_54,RS_55_59,RS_60_64,RS_65_69,RS_70_74,RS_75_79,RS_80_84,RS_85_89,RS_90_94,RS_95_99,RS_100,IE_M,IE_F,DR_CLASSE_AB,DR_CLASSE_C,DR_CLASSE_D,DR_CLASSE_E,RR_CLASSE_A,RR_CLASSE_B,RR_CLASSE_C,RR_CLASSE_D,RR_CLASSE_E
3532108,353210805000001,17,26,29,25,30,29,27,34,36,40,20,25,27,20,17,19,10,0,1,1,1,18,20,35,34,28,28,34,41,38,30,33,36,27,28,27,17,9,2,4,1,0,0.6751152073732719,0.6714285714285714,0.6731601731601732,0.94,1.3,0.83,0.74,1.07,1.04,0.79,0.83,0.95,1.33,0.61,0.69,1.0,0.71,0.63,1.12,1.11,0.0,0.25,1.0,,0.9583333333333334,1.2054794520547945,1,3,26,302,0,4,10,57,250
3532108,353210805000002,21,34,23,30,40,34,28,41,31,37,26,20,28,22,7,11,5,1,0,0,0,24,23,40,40,34,35,33,37,30,31,27,26,28,22,19,11,11,3,1,0,0,0.7175398633257403,0.6757894736842105,0.6958424507658644,0.88,1.48,0.57,0.75,1.18,0.97,0.85,1.11,1.03,1.19,0.96,0.77,1.0,1.0,0.37,1.0,0.45,0.33,0.0,,,0.5897435897435898,0.7701149425287356,0,0,49,265,0,1,12,84,210
3532108,353210805000003,17,21,23,25,24,22,18,19,26,36,18,22,19,20,15,15,7,8,2,2,0,19,15,24,22,19,21,24,26,26,28,23,23,32,22,25,17,7,6,0,0,0,0.637883008356546,0.6437994722955145,0.6409214092140921,0.89,1.4,0.96,1.14,1.26,1.05,0.75,0.73,1.0,1.29,0.78,0.96,0.59,0.91,0.6,0.88,1.0,1.33,,,,1.1311475409836065,1.3275862068965518,1,8,38,215,2,4,22,65,166
3532108,353210805000004,9,10,13,8,14,6,4,13,8,12,13,10,9,6,7,3,5,3,1,0,0,4,7,11,4,8,9,9,6,11,12,10,11,6,5,6,5,2,0,1,0,0,0.6298701298701299,0.6771653543307087,0.6512455516014235,2.25,1.43,1.18,2.0,1.75,0.67,0.44,2.17,0.73,1.0,1.3,0.91,1.5,1.2,1.17,0.6,2.5,,1.0,,,0.78125,0.8636363636363636,0,3,9,79,0,1,5,17,63
3532108,353210805000005,15,18,18,11,12,19,12,11,18,15,14,12,9,5,9,3,2,3,0,0,1,7,16,10,15,8,8,16,13,16,14,6,13,11,6,7,3,2,1,3,0,0,0.642512077294686,0.6857142857142857,0.662303664921466,2.14,1.12,1.8,0.73,1.5,2.38,0.75,0.85,1.12,1.07,2.33,0.92,0.82,0.83,1.29,1.0,1.0,3.0,0.0,,,0.45098039215686275,0.6666666666666666,0,3,11,109,0,0,4,11,83
3532108,353210805000006,15,14,25,29,13,22,17,23,30,25,20,22,15,13,8,2,5,1,0,0,0,12,21,32,21,18,16,16,18,18,22,19,18,9,8,3,4,1,0,0,0,0,0.7224080267558528,0.68359375,0.7045045045045045,1.25,0.67,0.78,1.38,0.72,1.38,1.06,1.28,1.67,1.14,1.05,1.22,1.67,1.62,2.67,0.5,5.0,,,,,0.5370370370370371,0.24615384615384617,0,1,13,162,0,0,2,37,122
