id_municipio,id_setor_censitario,prm_00_04,prm_05_09,prm_10_14,prm_15_19,prm_20_24,prm_25_29,prm_30_34,prm_35_39,prm_40_44,prm_45_49,prm_50_54,prm_55_59,prm_60_64,prm_65_69,prm_70_74,prm_75_79,prm_80_84,prm_85_89,prm_90_94,prm_95_99,prm_100,prf_00_04,prf_05_09,prf_10_14,prf_15_19,prf_20_24,prf_25_29,prf_30_34,prf_35_39,prf_40_44,prf_45_49,prf_50_54,prf_55_59,prf_60_64,prf_65_69,prf_70_74,prf_75_79,prf_80_84,prf_85_89,prf_90_94,prf_95_99,prf_100,pia_homens,pia_mulheres,pia_total,rs_00_04,rs_05_09,rs_10_14,rs_15_19,rs_20_24,rs_25_29,rs_30_34,rs_35_39,rs_40_44,rs_45_49,rs_50_54,rs_55_59,rs_60_64,rs_65_69,rs_70_74,rs_75_79,rs_80_84,rs_85_89,rs_90_94,rs_95_99,rs_100,ie_masculino,ie_feminino,dr_classe_ab,dr_classe_c,dr_classe_d,dr_classe_e,rr_classe_a,rr_classe_b,rr_classe_c,rr_classe_d,rr_classe_e
2709152,270915205000013,37,38,39,21,30,38,26,16,17,15,15,6,8,4,1,1,1,3,1,0,0,25,32,31,44,41,28,23,22,13,20,26,14,10,3,2,1,3,1,0,0,0,0.6056782334384858,0.7109144542772862,0.6600609756097561,1.48,1.19,1.26,0.48,0.73,1.36,1.13,0.73,1.31,0.75,0.58,0.43,0.8,1.33,0.5,1.0,0.33,3.0,NULL,NULL,NULL,0.09649122807017543,0.11363636363636363,0,0,1,129,0,0,1,7,105
2709152,270915205000012,49,45,61,51,47,34,35,29,22,14,12,15,16,10,8,2,1,1,0,0,0,50,47,65,46,39,40,36,29,25,20,19,16,17,15,4,1,2,0,0,1,1,0.6084070796460177,0.6067653276955602,0.6075675675675676,0.98,0.96,0.94,1.11,1.21,0.85,0.97,1.0,0.88,0.7,0.63,0.94,0.94,0.67,2.0,2.0,0.5,NULL,NULL,0.0,0.0,0.14193548387096774,0.14814814814814814,1,0,4,214,1,1,2,7,187
2709152,270915205000034,72,101,91,74,45,63,63,40,51,19,22,17,13,12,13,1,3,1,2,0,0,72,75,91,68,65,64,66,49,39,27,25,19,13,19,4,9,7,1,2,0,0,0.5789473684210527,0.6083916083916084,0.5937940761636107,1.0,1.35,1.0,1.09,0.69,0.98,0.95,0.82,1.31,0.7,0.88,0.89,1.0,0.63,3.25,0.11,0.43,1.0,1.0,NULL,NULL,0.12121212121212122,0.17647058823529413,0,1,5,334,0,1,7,23,263
2709152,270915205000015,41,57,50,40,43,42,31,32,28,23,25,12,11,6,3,1,1,0,1,0,0,57,56,63,56,44,46,39,34,29,26,23,14,14,6,3,3,3,2,0,0,0,0.6420581655480985,0.6274131274131274,0.6341968911917099,0.72,1.02,0.79,0.71,0.98,0.91,0.79,0.94,0.97,0.88,1.09,0.86,0.79,1.0,1.0,0.33,0.33,0.0,NULL,NULL,NULL,0.08108108108108109,0.09659090909090909,0,0,3,227,0,2,2,7,190
2709152,270915205000014,76,72,87,93,83,59,57,57,45,30,38,32,17,13,8,1,1,0,1,0,0,83,73,104,93,104,73,76,71,56,35,26,26,16,8,15,4,2,1,1,0,1,0.6636363636363637,0.663594470046083,0.6636141636141636,0.92,0.99,0.84,1.0,0.8,0.81,0.75,0.8,0.8,0.86,1.46,1.23,1.06,1.62,0.53,0.25,0.5,0.0,1.0,NULL,0.0,0.10212765957446808,0.12307692307692308,1,1,13,378,1,2,8,55,302
2709152,270915205000009,73,59,81,72,54,46,40,43,32,24,17,15,19,14,14,7,3,4,0,0,0,60,69,76,77,46,58,53,42,34,25,34,25,25,14,12,10,3,3,3,1,0,0.586709886547812,0.6253731343283582,0.6068376068376068,1.22,0.86,1.07,0.94,1.17,0.79,0.75,1.02,0.94,0.96,0.5,0.6,0.76,1.0,1.17,0.7,1.0,1.33,0.0,0.0,NULL,0.19718309859154928,0.22439024390243903,0,0,3,295,0,0,3,27,248
2709152,270915205000011,50,51,65,43,42,35,33,22,25,19,18,12,12,6,5,3,9,1,1,0,0,45,39,44,55,47,38,41,31,31,19,20,27,14,6,9,3,6,1,0,0,0,0.577433628318584,0.6785714285714286,0.6293103448275862,1.11,1.31,1.48,0.78,0.89,0.92,0.8,0.71,0.81,1.0,0.9,0.44,0.86,1.0,0.56,1.0,1.5,1.0,NULL,NULL,NULL,0.15060240963855423,0.1953125,0,0,5,229,0,0,4,15,194
2709152,270915205000010,69,79,67,47,34,35,46,23,29,12,7,16,5,7,3,0,0,0,0,1,0,69,74,67,48,44,42,47,22,21,17,13,12,4,4,2,2,2,0,1,0,0,0.5291666666666667,0.5498981670061099,0.5396498455200824,1.0,1.07,1.0,0.98,0.77,0.83,0.98,1.05,1.38,0.71,0.54,1.33,1.25,1.75,1.5,0.0,0.0,NULL,0.0,NULL,NULL,0.05116279069767442,0.05238095238095238,0,1,2,197,0,1,1,13,156
2709152,270915205000001,77,60,72,66,70,44,36,28,58,23,20,24,30,8,6,5,4,3,0,1,0,55,62,79,69,63,60,57,40,38,43,21,23,26,11,9,6,2,3,0,0,0,0.6283464566929133,0.6596701649175413,0.6443932411674347,1.4,0.97,0.91,0.96,1.11,0.73,0.63,0.7,1.53,0.53,0.95,1.04,1.15,0.73,0.67,0.83,2.0,1.0,NULL,NULL,NULL,0.1291866028708134,0.15816326530612246,0,0,8,281,0,0,1,27,226
2709152,270915205000002,58,50,53,68,53,59,56,43,38,30,22,18,13,8,10,5,1,1,2,0,0,43,69,76,81,73,55,59,48,32,35,33,24,20,15,7,7,1,3,0,0,0,0.6802721088435374,0.6754772393538914,0.677698975571316,1.35,0.72,0.7,0.84,0.73,1.07,0.95,0.9,1.19,0.86,0.67,0.75,0.65,0.53,1.43,0.71,1.0,0.33,NULL,NULL,NULL,0.16770186335403728,0.17553191489361702,0,1,10,300,0,0,7,30,226
